

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
12,;300s,;1801,;6.003,;0%,;1.423ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
12;77.061;1295.905;664.878;261.472;6.466;102.827;1810;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
12;1.959;1008.067;285.575;241.241;1.401;203.789;1801;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
12;3.042;391.844;43.624;39.738;1.205;36.198;1801;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;12;users):
;50.0%;of;requests;handled;in;665.939ms.
;90.0%;of;requests;handled;in;1001.91ms.
;95.0%;of;requests;handled;in;1073.546ms.
;99.0%;of;requests;handled;in;1160.07ms.
;99.9%;of;requests;handled;in;1293.477ms.
;99.99%;of;requests;handled;in;1295.905ms.

info;(run;1,;12;users):
;50.0%;of;requests;handled;in;294.58ms.
;90.0%;of;requests;handled;in;607.113ms.
;95.0%;of;requests;handled;in;691.005ms.
;99.0%;of;requests;handled;in;801.865ms.
;99.9%;of;requests;handled;in;990.246ms.
;99.99%;of;requests;handled;in;1008.067ms.

home;(run;1,;12;users):
;50.0%;of;requests;handled;in;26.674ms.
;90.0%;of;requests;handled;in;91.969ms.
;95.0%;of;requests;handled;in;101.226ms.
;99.0%;of;requests;handled;in;176.442ms.
;99.9%;of;requests;handled;in;386.088ms.
;99.99%;of;requests;handled;in;391.844ms.

