

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
1,;300s,;267,;0.89,;0%,;0.803ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
1;77.78;240.802;106.87;27.732;14.851;7.196;267;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
1;3.148;13.831;4.827;1.485;10.567;0.457;267;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
1;3.726;23.003;6.574;2.657;6.121;1.074;267;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;1;users):
;50.0%;of;requests;handled;in;99.24ms.
;90.0%;of;requests;handled;in;142.847ms.
;95.0%;of;requests;handled;in;159.04ms.
;99.0%;of;requests;handled;in;198.442ms.
;99.9%;of;requests;handled;in;240.802ms.
;99.99%;of;requests;handled;in;240.802ms.

info;(run;1,;1;users):
;50.0%;of;requests;handled;in;4.439ms.
;90.0%;of;requests;handled;in;6.475ms.
;95.0%;of;requests;handled;in;8.087ms.
;99.0%;of;requests;handled;in;10.784ms.
;99.9%;of;requests;handled;in;13.831ms.
;99.99%;of;requests;handled;in;13.831ms.

home;(run;1,;1;users):
;50.0%;of;requests;handled;in;5.879ms.
;90.0%;of;requests;handled;in;8.723ms.
;95.0%;of;requests;handled;in;9.907ms.
;99.0%;of;requests;handled;in;20.736ms.
;99.9%;of;requests;handled;in;23.003ms.
;99.99%;of;requests;handled;in;23.003ms.

